name,Cleanliness,width,height,area(m²),area(km²),Yearly incoming,Number of days held,People per day,artificial density(人/m²),water quality,evaluation,海水浴場の緯度,海水浴場の経度,現在位置の緯度,現在位置の経度,Distance
いなげの浜,8,1200,50,60000,0.06,76000,47,1617,0.027,,,35.61537153,140.0632432,,,
波左間海水浴場,3,490,35.1,17198,0.0172,19000,36,528,0.0307,A,,34.97278975,139.7884729,,,
鱚ヶ浦海水浴場,6,320,29.2,9356,0.00936,2000,15,133,0.0143,A,,35.12563021,139.8361168,,,
保田海水浴場,4,1000,30.2,30154,0.03015,4000,22,182,0.006,A,,35.14123705,139.8348525,,,
大六海水浴場,6,316,31,9801,0.0098,2000,15,133,0.0136,AA,,35.12058935,139.83199,,,
勝山海水浴場,7,700,19.9,13914,0.01391,3000,22,136,0.0098,AA,,35.12054847,139.8316531,,,
元名海水浴場,8,665,39.1,25973,0.02597,3000,15,200,0.0077,AA,,35.14774788,139.8309183,,,
北条海水浴場,4,747,32.4,24195,0.0242,15000,36,417,0.0172,A,,35.0024361,139.8590421,,,
豊岡海水浴場,7,134,22.7,3039,0.00304,7000,29,241,0.0794,AA,,35.05161764,139.8320227,,,
多田良北浜海水浴場,4,541,47.5,25678,0.02568,8000,29,276,0.0107,A,,35.04074106,139.8283266,,,
上総湊海水浴場,6,1040,90,93589,0.09359,4000,18,222,0.0024,AA,,35.22292281,139.8696973,,,
根本海水浴場,8,911,82.7,75297,0.0753,39000,30,1300,0.0173,AA,,34.90550284,139.8383658,,,
原岡海水浴場,7,440,37.9,16696,0.0167,6000,29,207,0.0124,AA,,35.0449621,139.8324056,,,
名倉海水浴場,7,290,43.3,12546,0.01255,9000,30,300,0.0239,A,,34.90762717,139.9089578,,,
富津海水浴場,6,2040,56.4,114976,0.11498,59000,36,1639,0.0143,AA,,35.3066033,139.8138282,,,
大貫中央海水浴場,7,261,68.1,17779,0.01778,3000,21,143,0.008,A,,35.28117765,139.8526146,,,
新舞子海水浴場,6,359,32.2,11575,0.01158,39000,29,1345,0.1162,A,,35.24949809,139.8665736,,,
塩浦海水浴場,7,256,45.5,11641,0.01164,10000,30,333,0.0286,AA,,34.90933947,139.9185769,,,
岩井海水浴場,8,1420,49.8,70786,0.07079,40000,30,1333,0.0188,AA,,35.09412351,139.8402521,,,
和田浦海水浴場,7,1200,55.7,66864,0.06686,4000,30,133,0.002,AA,,35.04023225,140.0208192,,,
御宿町浜海水浴場,8,373,93.1,34719,0.03472,8000,50,160,0.0046,A,,35.18180801,140.3513791,,,
太東海水浴場,6,767,73,55978,0.05598,12000,36,333,0.006,B,,35.32954717,140.399829,,,
太海海水浴場,5,341,28.5,9716,0.00972,5000,36,139,0.0143,A,,35.0803711,140.0991925,,,
江見海水浴場,6,390,35.2,13746,0.01375,2000,36,56,0.004,A,,35.05937084,140.0590952,,,
御宿中央海水浴場,9,558,120.1,67028,0.06703,25000,50,500,0.0075,A,,35.18364108,140.354411,,,
興津海水浴場,8,452,41.9,18933,0.01893,27000,36,750,0.0396,A,,35.13503238,140.2493796,,,
南千倉海水浴場,7,636,53.6,34080,0.03408,13000,30,433,0.0127,A,,34.96467284,139.9602088,,,
内浦海水浴場,5,540,39.5,21342,0.02134,16000,36,444,0.0208,A,,35.12751232,140.190952,,,
前原海水浴場,6,573,98.5,56466,0.05647,23000,36,639,0.0113,A,,35.10285731,140.1053039,,,
瀬戸浜海水浴場,4,308,32.6,10051,0.01005,4000,30,133,0.0133,A,,34.97764747,139.9679434,,,
城崎海水浴場,8,640,53.8,34429,0.03443,40000,36,1111,0.0323,AA,,35.12313827,140.1688182,,,
勝浦中央海水浴場,7,616,28.1,17281,0.01728,36000,36,1000,0.0579,A,,35.15049061,140.3068051,,,
守谷海水浴場,9,808,28,22651,0.02265,106000,36,2944,0.13,AA,,35.13818823,140.2615792,,,
鵜原海水浴場,8,574,47.9,27492,0.02749,28000,36,778,0.0283,A,,35.13761415,140.2748966,,,
真亀海水浴場,4,813,103.2,83929,0.08393,9000,43,209,0.0025,B,,35.50220363,140.4325794,,,
片貝海水浴場,5,1920,209.3,401832,0.40183,41000,61,672,0.0017,B,,35.52764558,140.4522376,,,
一松海水浴場,4,1270,65.9,83727,0.08373,7000,38,184,0.0022,AA,,35.41242078,140.3951668,,,
白里海水浴場,7,2530,123,311298,0.3113,71000,61,1164,0.0037,B,,35.48536119,140.4218785,,,
不動堂海水浴場,4,1670,107.3,179259,0.17926,16000,61,262,0.0015,B,,35.50737554,140.4365151,,,
白幡・井之内海水浴場,3,1680,173.4,291318,0.29132,16000,45,356,0.0012,B,,35.5599529,140.4782992,,,
中里海水浴場,3,1330,75.6,100580,0.10058,17000,37,459,0.0046,AA,,35.43168422,140.3998717,,,
小松海水浴場,6,1230,126.4,155462,0.15546,4000,50,80,0.0005,B,,35.57317617,140.4910176,,,
作田海水浴場,7,1210,157,189918,0.18992,7000,43,163,0.0009,AA,,35.54534882,140.4673782,,,
一宮海水浴場,3,452,55.9,25251,0.02525,20000,37,541,0.0214,AA,,35.37808982,140.3907767,,,
本須賀海水浴場,5,944,190.8,180140,0.18014,22000,50,440,0.0024,B,,35.55017648,140.4706765,,,
南浜海水浴場,5,1790,145.5,260383,0.26038,6000,50,120,0.0005,B,,35.58470528,140.5031536,,,
殿下海水浴場,4,1230,129.9,159801,0.1598,14000,50,280,0.0018,B,,35.59687448,140.5170075,,,
矢指ケ浦海水浴場,3,760,105.2,79986,0.07999,12000,43,279,0.0035,B,,35.69236227,140.66763,,,
中下海水浴場,7,1020,142.7,145533,0.14553,6000,50,120,0.0008,B,,35.59231885,140.5113668,,,
屋形海水浴場,7,1220,129.8,158411,0.15841,8000,36,222,0.0014,B,,35.60606626,140.5303471,,,
飯岡海水浴場,3,210,20,4200,0.0042,11000,43,256,0.0609,B,,35.70188886,140.7085451,,,
銚子マリーナ海水浴場,3,184,77.5,14265,0.01427,15000,36,417,0.0292,A,,35.70737558,140.8397897,,,
海鹿島海水浴場,4,110,23.7,2605,0.00261,2000,36,56,0.0213,A,,35.72063536,140.8698034,,,
長崎海水浴場,2,138,24.1,3328,0.00333,3000,36,83,0.025,AA,,35.69775134,140.8630397,,,
大原海水浴場,4,288,139,40029,0.04003,13000,36,361,0.009,B,,35.26461415,140.3992584,,,
沖ノ島海水浴場,2,400,40,16005,0.01601,40000,36,1111,0.0694,AA,,34.99013077,139.8269349,,,
新井海水浴場,3,426,26.5,11278,0.01128,3000,36,83,0.0074,A,,34.99131211,139.8561035,,,
